TP: 3172
FP: 1422
FN: 2192
Precision: 0.69
Recall: 0.59
F-Score: 0.64

########## FALSE POSITIVES:
(1, 'Müllergasse')
(1, 'Bahnhofstr')
(15, 'Grüssen')
(16, 'Bahnhofsstr')
(17, 'AUPAIRSGLOBAL')
(17, 'Bahnhofstr')
(29, 'konnen')
(33, 'Aupairsglobal')
(33, 'Bahnhofstr')
(36, 'möch-unreadable')
(50, 'Aufenthaltsformalit-unreadable')
(58, 'Abs')
(67, 'St')
(71, 'Bahnhofstr')
(73, 'erkundi-unreadable')
(79, 'Odenwaldstraße')
(80, 'Praktikumstelle')
(84, 'Odenwaldstraße')
(88, 'Interess')
(88, 'arbeit')
(95, 'Müllergasse')
(95, 'Odenwaldstraße')
(104, 'Bahnhofstr')
(141, 'Odenwaldstraße')
(171, 'Bachelor-Exam')
(192, 'Odenwaldstraße')
(209, 'mfg')
(217, 'FCE')
(226, 'kön')
(234, 'Grußen')
(254, 'unreadable')
(257, 'Müllergasse')
(257, 'Odenwaldstraße')
(281, 'Schulabschul')
(297, 'Grußen')
(299, 'Odenwaldstr')
(314, 'Odenwaldstraße')
(314, 'Praktikumstelle')
(318, 'Ungang')
(329, 'Müllergasse')
(329, 'Odenwaldstraße')
(340, 'Prowoche')
(348, 'Müllergasse')
(348, 'Odenwaldstraße')
(351, 'Contolling')
(358, 'Grüssen')
(367, 'Odenwaldstraße')
(373, 'grosser')
(378, 'Müllergasse')
(378, 'Odenwaldstrasse')
(389, 'Winkelsweg')
(390, 'Odenwaldstrasse')
(398, 'Grüssen')
(401, 'grosse')
(407, 'Grüssen')
(409, 'Odenwaldstraße')
(422, 'Prioritätet')
(436, 'Grüsse')
(437, 'Müllergasse')
(437, 'Odenwaldstrasse')
(463, 'grossen')
(466, 'Grüssen')
(467, 'Bewerbungsunte')
(468, 'Odenwaldstraße')
(469, 'Praktikumstelle')
(486, 'Odenwaldstr')
(490, 'grosses')
(495, 'Grüsse')
(496, 'MosGU')
(496, 'Odenstraße')
(508, 'Winkelsweg')
(508, 'Odenwaldstraße')
(511, 'Schlusab-unreadable')
(520, 'Praktikleichter')
(528, 'Versicherungfirma')
(531, 'Winkelsweg')
(531, 'Odenwaldstraße')
(539, 'Datenverabeitungstechniken')
(545, 'excellente')
(546, 'Englishkentni-unreadable')
(552, 'Odenwaldstraße')
(552, 'Praktikumstelle')
(564, 'Aufstiegmöglichkeiten')
(568, 'Müllergasse')
(568, 'Odenwaldstraße')
(568, 'Praktikumplatz')
(578, 'Packets')
(578, 'koninuierlich')
(580, 'Informatikerkurs')
(605, 'Odenwaldstraße')
(612, 'Odenwaldstraße')
(617, 'Zer')
(619, 'Systemkauffraus')
(636, 'unreadable')
(644, 'si')
(644, 'unreadable')
(647, 'Odenwaldstraße')
(648, 'Gazeta')
(648, 'Wyborcza')
(659, 'Odenwaldstraße')
(677, 'Befufsfähigkeiten')
(697, 'Odenwaldstraße')
(702, 'Kompetenze')
(706, 'Arbeitzeit')
(718, 'Odenwaldstraße')
(718, 'Praktikumstelle')
(728, 'Odenwaldstraße')
(739, 'Odenwaldstraße')
(752, 'COMPUTER-SPEZIALIST')
(752, 'Odenwaldstraße')
(752, 'Praktikumplatz')
(765, 'Aupairsglobal')
(765, 'Bahnhofstr')
(772, 'fließig')
(773, 'unreadable')
(785, 'Bahnhofstr')
(786, 'grossem')
(791, 'mussen')
(792, 'Ausserdem')
(792, 'Feizeitaktivitäten')
(799, 'Bahnhofsstr')
(801, 'Aupairsglobal')
(801, 'Bahnhofstr')
(803, 'Aupairsglobal')
(804, 'Deutschenzeitung')
(811, 'Grüsse')
(842, 'Aupairglobal')
(842, 'Bahnhofstr')
(856, 'Au-Pair')
(866, 'Antwo-unreadable')
(866, 'Grußen')
(867, 'Müllergasse')
(868, 'AUPAIRSGLOBAL')
(868, 'Bahnhofstr')
(883, 'unreadable')
(883, 'Müllergasse')
(884, 'Aupairsglobal')
(884, 'Bahnhofstr')
(895, 'Müllergasse')
(896, 'Aupairsglobal')
(896, 'Bahnhofstr')
(903, 'Ausserdem')
(905, 'Au-Pair-Stelle')
(909, 'Winkelsweg')
(910, 'Aupairsglobal')
(913, 'Hochschuleabschluss')
(915, 'Aupairsglobal')
(915, 'Aupair')
(922, 'Aupairsglobal')
(927, 'Winkelsweg')
(928, 'AUPAIRSGLOBAL')
(928, 'BAHNHOFSTR')
(932, 'AKTIVITÄTS')
(938, 'GRUSSEN')
(948, 'Grußen')
(949, 'BAHNHOFSTR')
(952, 'Au-pair Mädchen')
(962, 'Müllergasse')
(962, 'Aupairsglobal-Agentur')
(962, 'Bahnhofstr')
(975, 'Müllergasse')
(975, 'Aupairsglobal')
(975, 'Banhhofstr')
(985, 'Müllergasse')
(985, 'Aupairsglobal')
(985, 'Bahnhofstr')
(995, 'Müllergasse')
(995, 'Aupairsglobal')
(995, 'Bahnhofstr')
(1005, 'freudlichen')
(1005, 'Grußen')
(1006, 'Müllergasse')
(1006, 'Aupairsglobal')
(1006, 'Bahnhofstr')
(1007, 'programm')
(1008, 'programm')
(1026, 'Winkelsweg')
(1026, 'Aupairsglobal')
(1026, 'Bahnhofstr')
(1031, 'Au-pair Mädchen')
